"","Trial 1","Trial 2","Trial 3","Trial 4","Trial 5","Trial 6","Trial 7","Trial 8","Trial 9","Trial 10","Trial 1 RT","Trial 2 RT","Trial 3 RT","Trial 4 RT","Trial 5 RT","Trial 6 RT","Trial 7 RT","Trial 8 RT","Trial 9 RT","Trial 10 RT","Seq"
"LE05ID28",1,1,1,1,1,1,1,0,1,1,42.8600805999995,23.3191729999999,24.0753790999988,22.7868990999996,23.7645372000006,32.0979039999984,27.1511704000004,21.7710900999991,27.2571134000027,23.0238824000007,0
"LL04NE01",1,1,1,1,1,1,1,1,1,1,188.309900099997,49.9953475000002,41.6939670000029,40.4859937000001,42.6648812000021,35.8479493999985,43.0546058999971,48.1591700999998,44.4829543999986,39.5994926999992,0
"Na04IG23",1,1,1,0,1,0,1,1,1,0,1.96934759999931,3.14093739999953,4.81777279999733,5.67466000000059,0.768795700001647,0.443732499999896,1.71458970000094,2.34953509999832,4.08060900000055,0.892993299999944,0
"nd05go08",1,1,1,0,1,0,1,1,1,1,5.63310189999902,3.96743980000247,1.02559740000288,6.239254600001,0.24585930000103,0.843973299997742,2.61993380000058,3.68027799999982,1.00964290000047,0.13491680000152,0
"NE05EL22",1,1,0,1,0,1,1,0,0,0,3.83071239999845,74.9538207000005,109.7182431,29.6394153000001,19.7029718999984,2.57957259999966,6.23534759999893,15.1980502000006,12.8818362999991,36.9712920999991,0
"ng5nd27",1,1,1,1,1,1,1,1,1,1,4.85414859999946,11.4896909000017,13.3782085999992,15.8350785000002,1.39713299999858,8.60252480000054,3.62625130000015,6.33549199999834,9.33498600000166,8.62264689999938,0
"RE03AN16",1,1,1,1,0,1,1,0,1,0,5.84377810000296,5.8748024000015,3.90566529999705,3.96482380000089,9.49231429999782,0.658419300001697,1.45146720000048,7.98439499999949,5.88212360000034,15.0055261000016,0
"seimai",1,1,1,1,1,1,1,1,0,1,1.09974480000164,1.89860159999807,2.50181840000005,172.469135399999,1.10284090000278,2.00439600000027,8.49844329999905,1.23153810000076,5.7386848999995,0.625185000000783,0
"SØRMON",1,1,1,1,1,1,1,1,1,1,38.4167271000006,41.0221381999982,29.6728122999994,28.4618703999986,42.0927276000002,30.4259453999985,29.6469147999996,32.0961267999992,27.9090757000013,26.5744799999993,0
"sterig",1,1,1,1,1,1,1,1,1,0,1.76427829999989,3.61149090000004,4.92172610000011,1.78156370000011,2.42474909999987,0.850422799999933,2.85547770000016,7.60097449999989,1.01689119999992,6.87394489999997,0
"valire",1,1,0,1,1,1,0,1,1,1,3.71193349999885,9.56105079999907,4.66657109999869,2.04752179999923,9.8421699999999,4.79516140000123,8.67914020000171,10.2039549000001,2.79256659999737,0.885263200001646,0
"veneva",0,0,0,1,1,1,1,1,0,1,8.91285259999859,5.33933930000057,8.47755410000173,7.02610989999812,6.30552620000162,2.87068429999999,2.64396309999938,5.47253669999918,1.31430099999852,3.51355870000043,0
"VESGRE",0,0,1,0,0,1,1,1,1,1,25.1467821000006,22.1542587000004,33.1454491000004,36.7751979999994,28.0483419999982,30.7923790000023,36.4045253000004,35.0958463999996,34.3204437999993,1.84943710000152,0
"wencat",1,1,1,1,1,1,0,1,1,1,8.51657799999998,5.69612499999994,2.28197410000007,2.83487160000004,5.76484329999994,5.73351519999983,5.04271389999985,12.0420628000002,3.73243620000017,13.8797562999998,0
